"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2021","11-827-1162","Emsworth Inn","Bill","Rhodes","Owner","Male","195 Hazelwood Ave","Emsworth","PA","15202","1413","Allegheny","(412) 766-7826","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$153,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","","No"
"2020","11-827-1162","Emsworth Inn","Bill","Rhodes","Owner","Male","195 Hazelwood Ave","Emsworth","PA","15202","1413","Allegheny","(412) 766-7826","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$153,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","","No"
"2019","11-827-1162","Emsworth Inn","Bill","Rhodes","Owner","Male","195 Hazelwood Ave","Pittsburgh","PA","15202","1413","Allegheny","(412) 766-7826","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$153,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","","No"
"2020","42-197-9228","Engine House 25","","","","","3339 Penn Ave","Pittsburgh","PA","15201","1337","Allegheny","(412) 621-1268","208401","Wineries (Mfrs)","208401","Wineries (Mfrs)","","","581212","Caterers","","","","","","","","","","","","","","","","","31213001","Wineries","31213001","Wineries","72232001","Caterers","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$203,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2021","42-197-9228","Engine House 25","","","","","3339 Penn Ave","Pittsburgh","PA","15201","1337","Allegheny","(412) 621-1268","208401","Wineries (Mfrs)","208401","Wineries (Mfrs)","","","581212","Caterers","","","","","","","","","","","","","","","","","31213001","Wineries","31213001","Wineries","72232001","Caterers","","","","","","","","","","","","","","","","","1 to 4","00003","$500,000 - 1 Million","$920,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2019","42-197-9228","Engine House 25","","","","","3339 Penn Ave","Pittsburgh","PA","15201","1337","Allegheny","(412) 621-1268","581234","","581234","","","","581223","","208401","Wineries (Mfrs)","","","","","","","","","","","","","","","","","","","","","31213001","Wineries","","","","","","","","","","","","","","","1 to 4","00004","Less Than $500,000","$203,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2021","53-348-0703","Enrico's Tazza D Oro Cafe","Amy","Enrico","Owner","Female","1125 N Highland Ave","Pittsburgh","PA","15206","1664","Allegheny","(412) 362-3676","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","","No"
"2021","42-198-3803","Ephesus Pizza","Cenap","Kosar","Owner","Male","219 4th Ave","Pittsburgh","PA","15222","1707","Allegheny","(412) 552-9020","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","581222","Pizza","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","72251115","Full-Service Restaurants","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","22","","No"
"2020","42-198-3803","Ephesus Pizza","Cenap","Kosar","Owner","Male","219 4th Ave","Pittsburgh","PA","15222","1707","Allegheny","(412) 552-9020","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","581222","Pizza","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","72251115","Full-Service Restaurants","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","22","","No"
"2019","42-198-3803","Ephesus Restaurant","Cenap","Kosar","Owner","Male","219 4th Ave","Pittsburgh","PA","15222","1707","Allegheny","(412) 552-9020","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","581222","Pizza","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","72251115","Full-Service Restaurants","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","22","","No"
