"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2021","21-728-0940","Starbucks","Jesse","Maxwell","Manager","Male","4765 Liberty Ave # 1","Pittsburgh","PA","15224","2079","Allegheny","(412) 683-3755","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00017","$500,000 - 1 Million","$559,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","20","","No"
"2020","21-728-0940","Starbucks","Sean","Barry","Manager","Male","4765 Liberty Ave # 1","Pittsburgh","PA","15224","2079","Allegheny","(412) 683-3755","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00011","$500,000 - 1 Million","$559,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","20","","No"
"2020","21-748-1456","Starbucks","","","","","971 Greentree Rd","Pittsburgh","PA","15220","3303","Allegheny","(412) 922-7020","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","20 to 49","00030","$1 - 2.5 Million","$1,523,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","20","","No"
"2021","21-748-1456","Starbucks","","","","","971 Greentree Rd","Pittsburgh","PA","15220","3303","Allegheny","(412) 922-7020","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","20 to 49","00030","$1 - 2.5 Million","$1,523,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","20","","No"
"2019","21-748-1456","Starbucks","","","","","971 Greentree Rd","Pittsburgh","PA","15220","3303","Allegheny","(412) 922-7020","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","581214","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","20 to 49","00030","$1 - 2.5 Million","$1,523,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","20","","No"
"2021","24-310-4783","Starbucks","Joe","Rowe","Manager","Male","7 Market Sq","Pittsburgh","PA","15222","1813","Allegheny","(412) 201-0296","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00016","$500,000 - 1 Million","$812,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","19","","No"
"2020","24-310-4783","Starbucks","Joe","Rowe","Manager","Male","7 Market Sq","Pittsburgh","PA","15222","1813","Allegheny","(412) 201-0296","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00016","$500,000 - 1 Million","$812,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","19","","No"
"2019","72-293-1716","Starbucks","Nick","Kop","Manager","Male","201 S Hills Vlg","Pittsburgh","PA","15241","1408","Allegheny","(412) 595-9380","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","581214","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","7","","No"
"2019","72-110-0281","Starbucks","Bryce","Rings","Manager","Male","5932 Penn Cir S","Pittsburgh","PA","15206","0000","Allegheny","(412) 361-1350","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","581214","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","7","","No"
"2021","71-906-4422","Starbucks","Heidi","Weiss","Manager","Female","4022 5th Ave","Pittsburgh","PA","15213","3544","Allegheny","(412) 402-8182","581228","Coffee Shops","581228","Coffee Shops","","","549915","Coffee & Tea","","","","","","","","","","","","","","","","","72251505","Snack And Nonalcoholic Beverage Bars","72251505","Snack And Nonalcoholic Beverage Bars","44529805","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Branch","303651459","000000000","2","Verified","000000","$0","7","1971","No"
