"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2019","53-350-3009","Italian Village Pizza","","","","","5886 Forbes Ave","Pittsburgh","PA","15217","1602","Allegheny","(412) 422-1300","581222","Pizza","581222","Pizza","","","581208","Restaurants","","","","","","","","","","","","","","","","","72251115","Full-Service Restaurants","72251115","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","5 to 9","00006","Less Than $500,000","$305,000","Private","Branch","603351016","000000000","2","Verified","000000","$0","21","","No"
"2021","11-838-7356","Kiku Japanese Restaurant","Andy","Kikuyama","Owner","Male","225 W Station Square Dr","Pittsburgh","PA","15219","1174","Allegheny","(412) 765-3200","581208","Restaurants","581208","Restaurants","","","581212","Caterers","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72232001","Caterers","","","","","","","","","","","","","","","","","20 to 49","00025","$1 - 2.5 Million","$1,269,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","1983","No"
"2020","11-838-7356","Kiku Japanese Restaurant","Andy","Kikuyama","Owner","Male","225 W Station Square Dr","Pittsburgh","PA","15219","1174","Allegheny","(412) 765-3200","581208","Restaurants","581208","Restaurants","","","581212","Caterers","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72232001","Caterers","","","","","","","","","","","","","","","","","20 to 49","00025","$1 - 2.5 Million","$1,269,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","1983","No"
"2019","11-838-7356","Kiku Japanese Restaurant","Andy","Kikuyama","Owner","Male","225 W Station Square Dr","Pittsburgh","PA","15219","1174","Allegheny","(412) 765-3200","581208","Restaurants","581208","Restaurants","","","581212","Caterers","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72232001","Caterers","","","","","","","","","","","","","","","","","20 to 49","00025","$1 - 2.5 Million","$1,269,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","39","1983","No"
"2021","41-649-8398","Kiku Of Japan Inc","Andy","Kikuyama","President","Male","225 W Station Square Dr","Pittsburgh","PA","15219","1174","Allegheny","(412) 765-3200","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","41-649-8398","Kiku Of Japan Inc","Andy","Kikuyama","President","Male","225 W Station Square Dr","Pittsburgh","PA","15219","1174","Allegheny","(412) 765-3200","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2019","41-649-8398","Kiku Of Japan Inc","Andy","Kikuyama","President","Male","225 W Station Square Dr","Pittsburgh","PA","15219","1174","Allegheny","(412) 765-3200","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","","No"
"2020","72-348-4059","Kimberley Ashlee Catering","","","","","213 Bon Air Ave","Pittsburgh","PA","15210","3203","Allegheny","(412) 855-1309","581212","Caterers","581212","Caterers","","","","","","","","","","","","","","","","","","","","","72232001","Caterers","72232001","Caterers","","","","","","","","","","","","","","","","","","","5 to 9","00005","Less Than $500,000","$254,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","2011","No"
"2021","72-348-4059","Kimberley Ashlee Catering","","","","","213 Bon Air Ave","Pittsburgh","PA","15210","3203","Allegheny","(412) 855-1309","581212","Caterers","581212","Caterers","","","999966","Federal Government Contractors","","","","","","","","","","","","","","","","","72232001","Caterers","72232001","Caterers","99999005","Unclassified Establishments","","","","","","","","","","","","","","","","","5 to 9","00005","Less Than $500,000","$254,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","2011","No"
"2019","72-348-4059","Kimberley Ashlee Catering","","","","","213 Bon Air Ave","Pittsburgh","PA","15210","3203","Allegheny","(412) 855-1309","581212","Caterers","581212","Caterers","","","581215","","","","","","","","","","","","","","","","","","72232001","Caterers","72232001","Caterers","","","","","","","","","","","","","","","","","","","5 to 9","00005","Less Than $500,000","$254,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","2011","No"
