"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2020","53-350-3157","Jack's Pizza & Hoagies","Jack","Boros","Owner","Male","3565 Harts Run Rd","Pittsburgh","PA","15238","1163","Allegheny","(412) 963-1680","581222","Pizza","581222","Pizza","","","581208","Restaurants","","","","","","","","","","","","","","","","","72251115","Full-Service Restaurants","72251115","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","1 to 4","00004","Less Than $500,000","$203,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","24","","No"
"2019","53-350-3157","Jack's Pizza & Hoagies","Jack","Boros","Owner","Male","3565 Harts Run Rd","Pittsburgh","PA","15238","1163","Allegheny","(412) 963-1680","581222","Pizza","581222","Pizza","","","581208","Restaurants","","","","","","","","","","","","","","","","","72251115","Full-Service Restaurants","72251115","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","1 to 4","00004","Less Than $500,000","$203,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","24","","No"
"2020","72-344-1867","Pizza Quatro","","","","","328 Curry Hollow Rd","Pittsburgh","PA","15236","4621","Allegheny","(412) 943-1900","581208","Restaurants","581208","Restaurants","","","581222","Pizza","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251115","Full-Service Restaurants","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2019","72-344-1867","Pizza Quatro","","","","","328 Curry Hollow Rd","Pittsburgh","PA","15236","4621","Allegheny","(412) 943-1900","581208","Restaurants","581208","Restaurants","","","581222","Pizza","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251115","Full-Service Restaurants","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2021","42-512-8401","Quaker Steak & Lube","","","","","100 Art Rooney Ave","Pittsburgh","PA","15212","5729","Allegheny","(412) 432-7800","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","20 to 49","00041","$1 - 2.5 Million","$2,081,000","Private","Branch","402152581","720776824","2","Verified","000000","$0","11","","No"
"2021","97-512-2219","Quaker Steak & Lube","Raymond","Joll","Owner","Male","110 Andrew Dr","Pittsburgh","PA","15275","1200","Allegheny","(412) 494-3344","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00070","$2.5 - 5 Million","$3,553,000","Private","Branch","402152581","720776824","2","Verified","000000","$0","26","","No"
"2020","97-512-2219","Quaker Steak & Lube","Raymond","Joll","Owner","Male","110 Andrew Dr","Pittsburgh","PA","15275","1200","Allegheny","(412) 494-3344","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00070","$2.5 - 5 Million","$3,553,000","Private","Branch","402152581","720776824","2","Verified","000000","$0","26","","No"
"2019","97-512-2219","Quaker Steak & Lube","Raymond","Joll","Owner","Male","110 Andrew Dr","Pittsburgh","PA","15275","1200","Allegheny","(412) 494-3344","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","50 to 99","00070","$2.5 - 5 Million","$3,553,000","Private","Branch","402152581","401953817","2","Verified","000000","$0","26","","No"
"2020","42-512-8401","Quaker Steak & Lube","","","","","100 Art Rooney Ave","Pittsburgh","PA","15212","5729","Allegheny","(412) 432-7800","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","20 to 49","00041","$1 - 2.5 Million","$2,081,000","Private","Branch","402152581","720776824","2","Verified","000000","$0","11","","No"
"2019","42-512-8401","Quaker Steak & Lube","","","","","100 Art Rooney Ave","Pittsburgh","PA","15212","5729","Allegheny","(412) 432-7800","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","20 to 49","00041","$1 - 2.5 Million","$2,081,000","Private","Branch","402152581","401953817","2","Verified","000000","$0","11","","No"
