"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2020","43-247-2664","Seven P G H LLC","","","","","2019 E Carson St","Pittsburgh","PA","15203","1901","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2021","43-247-2664","Seven P G H LLC","","","","","2019 E Carson St","Pittsburgh","PA","15203","1901","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2019","43-247-2664","Seven P G H LLC","","","","","2019 E Carson St","Pittsburgh","PA","15203","1901","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
"2020","21-728-0965","Shady Grove","Gregg","Caliguiri","Owner","Male","5500 Walnut St # 3","Pittsburgh","PA","15232","2367","Allegheny","(412) 697-0909","581301","Bars","581301","Bars","","","581208","Restaurants","","","","","","","","","","","","","","","","","72241001","Drinking Places (Alcoholic Beverages)","72241001","Drinking Places (Alcoholic Beverages)","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","20 to 49","00049","$1 - 2.5 Million","$2,487,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","2003","No"
"2021","21-728-0965","Shady Grove","Gregg","Caliguiri","Owner","Male","5500 Walnut St # 3","Pittsburgh","PA","15232","2367","Allegheny","(412) 697-0909","581301","Bars","581301","Bars","","","581208","Restaurants","","","","","","","","","","","","","","","","","72241001","Drinking Places (Alcoholic Beverages)","72241001","Drinking Places (Alcoholic Beverages)","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","20 to 49","00049","$2.5 - 5 Million","$2,860,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","2003","No"
"2019","21-728-0965","Shady Grove","Gregg","Caliguiri","Owner","Male","5500 Walnut St # 3","Pittsburgh","PA","15232","2367","Allegheny","(412) 697-0909","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","20 to 49","00049","$1 - 2.5 Million","$2,487,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","2003","No"
"2020","11-848-5671","Shadyside Market & Deli","Jennie","Mineo","Owner","Female","5414 Walnut St","Pittsburgh","PA","15232","2222","Allegheny","(412) 682-5470","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2021","11-848-5671","Shadyside Market & Deli","Jennie","Mineo","Owner","Female","5414 Walnut St","Pittsburgh","PA","15232","2222","Allegheny","(412) 682-5470","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2019","11-848-5671","Shadyside Market & Deli","Jennie","Mineo","Owner","Female","5414 Walnut St","Pittsburgh","PA","15232","2222","Allegheny","(412) 682-5470","581209","","581209","","","","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","10 to 19","00015","$500,000 - 1 Million","$762,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2020","43-247-5453","Shakespeare's Restaurant LLC","","","","","9370 Mcknight Rd","Pittsburgh","PA","15237","5953","Allegheny","Not Available","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","9","","No"
